zipcode;index;mha_name
90088;2;Los Angeles, CA
90089;2;Los Angeles, CA
90091;2;Los Angeles, CA
90093;2;Los Angeles, CA
90094;2;Los Angeles, CA
90095;2;Los Angeles, CA
90096;2;Los Angeles, CA
90099;2;Los Angeles, CA
90134;2;Los Angeles, CA
90140;2;Los Angeles, CA
90189;2;Los Angeles, CA
90201;2;Los Angeles, CA
90202;2;Los Angeles, CA
90205;2;Los Angeles, CA
90209;2;Los Angeles, CA
90210;2;Los Angeles, CA
90211;2;Los Angeles, CA
90212;2;Los Angeles, CA
90213;2;Los Angeles, CA
90220;2;Los Angeles, CA
90221;2;Los Angeles, CA
90222;2;Los Angeles, CA
90223;2;Los Angeles, CA
90224;2;Los Angeles, CA
90230;2;Los Angeles, CA
90231;2;Los Angeles, CA
90232;2;Los Angeles, CA
90239;2;Los Angeles, CA
90240;2;Los Angeles, CA
90241;2;Los Angeles, CA
90242;2;Los Angeles, CA
90245;2;Los Angeles, CA
90247;2;Los Angeles, CA
90248;2;Los Angeles, CA
90249;2;Los Angeles, CA
90250;2;Los Angeles, CA
90251;2;Los Angeles, CA
90254;2;Los Angeles, CA
90255;2;Los Angeles, CA
90260;2;Los Angeles, CA
90261;2;Los Angeles, CA
90262;2;Los Angeles, CA
90263;2;Los Angeles, CA
90264;2;Los Angeles, CA
90265;2;Los Angeles, CA
90266;2;Los Angeles, CA
90267;2;Los Angeles, CA
90270;2;Los Angeles, CA
90272;2;Los Angeles, CA
90274;2;Los Angeles, CA
90275;2;Los Angeles, CA
90277;2;Los Angeles, CA
90278;2;Los Angeles, CA
90280;2;Los Angeles, CA
90290;2;Los Angeles, CA
90291;2;Los Angeles, CA
90292;2;Los Angeles, CA
90293;2;Los Angeles, CA
90294;2;Los Angeles, CA
90295;2;Los Angeles, CA
90296;2;Los Angeles, CA
90301;2;Los Angeles, CA
90302;2;Los Angeles, CA
90303;2;Los Angeles, CA
90304;2;Los Angeles, CA
90305;2;Los Angeles, CA
